,Date,Text,Positive,Negative,Neutral,Compound
69,Sat Dec 02 17:19:32 +0000 2017,"NEW: President Trump speaks out on Michael Flynn, says he ""had to fire General Flynn because he lied to the Vice Pr… https://t.co/weVVAfOlHo",0.0,0.192,0.808,-0.6124
70,Sat Dec 02 17:15:01 +0000 2017,"This week, archaeologists unearthed part of one of the 21 sphinxes Cecil B. DeMille left behind after wrapping up f… https://t.co/rqTCpaOVux",0.0,0.0,1.0,0.0
71,Sat Dec 02 16:55:02 +0000 2017,"Proponents claim the Senate GOP tax plan would ""directly benefit"" all Americans, but how people would actually make… https://t.co/WDsQyA4T6H",0.1,0.0,0.9,0.25
72,Sat Dec 02 16:35:01 +0000 2017,"Jesse Ventura and the estate of ""American Sniper"" author Chris Kyle agree to dismiss the former Minnesota governor'… https://t.co/jz7Xvf6MEC",0.122,0.0,0.878,0.3612
73,Sat Dec 02 16:15:01 +0000 2017,"The remains of a missing Army veteran and her dog were found in a shallow grave after a tip from her ex-husband, po… https://t.co/btNUdTMfmx",0.0,0.202,0.798,-0.5859
74,Sat Dec 02 15:55:02 +0000 2017,"A white nationalist group set up a memorial for Kate Steinle near where she was shot, decorating it with flowers, c… https://t.co/6UQ8z9ot2Z",0.0,0.0,1.0,0.0
75,Sat Dec 02 15:35:55 +0000 2017,The Senate narrowly passed Republicans' tax reform legislation early Saturday morning with no Democratic support:… https://t.co/0dtDL2AOs6,0.0,0.128,0.872,-0.296
76,Sat Dec 02 15:16:01 +0000 2017,"President Trump reacts to Michael Flynn's guilty plea, says there was ""absolutely no collusion"" with Russia… https://t.co/uLOmLVfoX6",0.0,0.261,0.739,-0.6478
77,Sat Dec 02 14:55:01 +0000 2017,"The first baby born from a uterus transplant in the U.S. has been delivered in Texas:
https://t.co/5i0f6j2ZB7 https://t.co/c5y0gC69yQ",0.0,0.0,1.0,0.0
78,Sat Dec 02 14:35:01 +0000 2017,Investigators in North Carolina say a missing 3-year-old girl is believed to be dead; her mother's boyfriend has be… https://t.co/NgFAD6PWrb,0.0,0.277,0.723,-0.7579
79,Sat Dec 02 14:15:02 +0000 2017,The Senate narrowly passed Republicans' tax reform legislation just before 2 a.m. ET; the bill next heads to confer… https://t.co/VVY3UBSYiR,0.0,0.0,1.0,0.0
80,Sat Dec 02 14:03:04 +0000 2017,Report faults law enforcement at violent Charlottesville rally https://t.co/tUGOqLz7qj https://t.co/OReSE7oNoQ,0.0,0.467,0.533,-0.7906
81,Sat Dec 02 13:48:06 +0000 2017,Feds want to seize Martin Shkreli's Wu-Tang Clan album https://t.co/GQIL3hPM7S https://t.co/I19hsoeiV5,0.115,0.0,0.885,0.0772
82,Sat Dec 02 13:38:32 +0000 2017,Investigators in North Carolina say a missing 3-year-old girl is believed to be dead and have arrested a man in con… https://t.co/Cifh020qbl,0.0,0.361,0.639,-0.8625
83,Sat Dec 02 13:33:05 +0000 2017,Accusers face risks when violating nondisclosure agreements https://t.co/rfpfWPKXD0 https://t.co/YGtomyn5h5,0.153,0.409,0.438,-0.5423
84,Sat Dec 02 13:18:08 +0000 2017,Tesla turns on world's biggest lithium-ion battery https://t.co/2IhJx81HCz https://t.co/r54QPY4hBL,0.0,0.0,1.0,0.0
85,Sat Dec 02 13:03:05 +0000 2017,Ex-Oklahoma lawmaker pleads guilty to child sex trafficking https://t.co/UWmL2RvEgF https://t.co/xlq2gSjc0c,0.0,0.237,0.763,-0.4215
86,Sat Dec 02 12:48:03 +0000 2017,"Hecklers yell ""Lock him up!"" as Michael Flynn leaves courthouse after making guilty plea https://t.co/2oVFmijMJy https://t.co/P1iX721fVV",0.0,0.171,0.829,-0.4753
87,Sat Dec 02 12:33:05 +0000 2017,"Thieves steal toys, clothes, tools from Salvation Army warehouse in Baltimore https://t.co/0VpqHRR7K5 https://t.co/p1yf1Eq952",0.0,0.371,0.629,-0.7579
88,Sat Dec 02 12:18:08 +0000 2017,"McDonald's manager who tipped cops off in Tampa slayings case to receive $110,000 reward https://t.co/ngUxzghA85 https://t.co/DRhXv13IOO",0.198,0.0,0.802,0.5719
89,Sat Dec 02 12:03:06 +0000 2017,"Netflix announces third season of ""Stranger Things"" https://t.co/W1ylQbMSGf https://t.co/ZSCXUIWWz9",0.0,0.0,1.0,0.0
90,Sat Dec 02 11:48:06 +0000 2017,"Lung cancer drug targets ""hidden"" HIV in promising case https://t.co/AZrRvTrWZC https://t.co/BLS8d9hSMr",0.168,0.273,0.559,-0.4019
91,Sat Dec 02 11:33:05 +0000 2017,Mariah Woods: Search continues for missing North Carolina 3-year-old https://t.co/TKC1eHwgVq https://t.co/AUO1LunHZO,0.0,0.18,0.82,-0.296
92,Sat Dec 02 11:18:07 +0000 2017,Former NSA employee pleads guilty to keeping top secret info at home https://t.co/AxZNwjWcjP https://t.co/KaBtYnPUR3,0.108,0.169,0.723,-0.25
93,Sat Dec 02 11:03:05 +0000 2017,Bitcoin exchange Coinbase ordered to hand over customer data to IRS https://t.co/ONnpG13i58 https://t.co/T1WXnJKJMh,0.211,0.0,0.789,0.4939
94,Sat Dec 02 10:48:05 +0000 2017,American Airlines pilots to cover flights after glitch threatened holiday travel https://t.co/eyf4lSW0wX https://t.co/I8uL8UInx7,0.162,0.18,0.659,-0.0772
95,Sat Dec 02 10:33:05 +0000 2017,"Pelosi, DCCC chairman call for congressman accused of harassment to resign https://t.co/VNiRymB9M5 https://t.co/FmG1J5FArA",0.0,0.448,0.552,-0.7964
96,Sat Dec 02 10:18:07 +0000 2017,Drug treatment court judge helps Minnesota woman turn her life around https://t.co/2vxLxQS0FB https://t.co/o2WbtOoBGf,0.178,0.0,0.822,0.3818
97,Sat Dec 02 10:03:05 +0000 2017,"Analysis: Mueller investigation ""should make you very nervous"" if you have something to hide https://t.co/Rkg2ecm47z https://t.co/yfYQF5rO7g",0.0,0.226,0.774,-0.4754
98,Sat Dec 02 09:48:05 +0000 2017,"NBC News chief says network is investigating Matt Lauer's ""appalling behavior"" https://t.co/0HEdPJvndr https://t.co/27DHufbbYi",0.0,0.172,0.828,-0.3612
99,Sat Dec 02 09:33:04 +0000 2017,"Mike Flynn says he takes ""full responsibility"" for his actions https://t.co/PCbqQMTwF7 https://t.co/j7aldVzMAp",0.0,0.0,1.0,0.0
