,Date,Text,Positive,Negative,Neutral,Compound
69,Thu Nov 30 14:02:34 +0000 2017,"RT @CNNPolitics: British Labour MP Stephen Doughty: ""I think the President needs to worry about what's happening in the United States more…",0.109,0.113,0.778,-0.0258
70,Wed Nov 29 18:53:48 +0000 2017,"Hawaii Democrat Sen. Mazie Hirono: GOP tax bill is a ""solution in search of a problem"" https://t.co/ZHpMq0oZ2J",0.128,0.15,0.722,-0.1027
71,Wed Nov 29 18:47:28 +0000 2017,"Hawaii Democrat Sen. Mazie Hirono: President Trump should ""tone down his rhetoric"" on North Korea https://t.co/OBiVi9Nwhk",0.0,0.0,1.0,0.0
72,Wed Nov 29 15:27:57 +0000 2017,"""We're taking the issue of sexual harassment very seriously,"" says House Speaker Paul Ryan at Capitol Hill press br… https://t.co/njrgfP6Ivy",0.0,0.156,0.844,-0.5423
73,Wed Nov 29 02:02:19 +0000 2017,"Could tax reform be the first major policy victory for Trump and the GOP? Right now, Sens. Bernie Sanders, Ted Cruz… https://t.co/a20ZxNd0p5",0.0,0.0,1.0,0.0
74,Wed Nov 29 01:12:09 +0000 2017,#TaxDebate at 9 p.m. ET on CNN: Conservative Sens. @TedCruz and @SenatorTimScott debate liberal Sens.… https://t.co/nk2w4pXyGN,0.0,0.0,1.0,0.0
75,Tue Nov 28 20:36:12 +0000 2017,The Japanese government believes the North Korean missile flew for more than 50 minutes https://t.co/qP9uZHhB0y https://t.co/AU8aTsWMf6,0.0,0.0,1.0,0.0
76,Tue Nov 28 20:34:48 +0000 2017,It's #GivingTuesday! Donate to any of this year's Top 10 #CNNHeroes at https://t.co/HPvauSMeWa OR… https://t.co/BuJx0Do33D,0.13,0.0,0.87,0.2714
77,Tue Nov 28 18:57:34 +0000 2017,"BREAKING: North Korea has fired a ballistic missile, South Korea says https://t.co/HnKs88ZE2G https://t.co/gDNiOh8sJx",0.0,0.247,0.753,-0.5574
78,Tue Nov 28 18:01:17 +0000 2017,RT @CNN: President Trump arrives on Capitol Hill for lunch with Senate Republicans https://t.co/wwwFwuuWVs https://t.co/0UnBg8inFj,0.0,0.0,1.0,0.0
